"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"PIAA";"LR-36";"PIAA Комплект проводов";;;;;;;"Комплект проводов для подключения ламп (2 шт.) серии 530 LED";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"MLR-4E";"PIAA Комплект проводов для экстремальных условий, пылевлагозащищенный";;;;;;;"Комплект проводов для подключения 2х ламп серии DS530 LED (С усиленной защитой от влаги и грязи для экстремальных условий)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LKCC5B";"PIAA CROSS COUNTRY H.I.D. 66мм SPOT / 12V 30W HID";;"30W";"КСЕНОНОВАЯ";;"Лампы дополнительного освещения";"Япония";"Компактная и мощная ксеноновая лампа дополнительного света";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"L-144E";"PIAA Plasma Ion Yellow SMR Driving H4 60/55W";;"60/55W";"ГАЛОГЕННАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света галогенная для вождения, черного цвета.Желтый свет";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"PS588BE";"PIAA DRIVING Xtreme White H3 85W";;"85W";"ГАЛОГЕННАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света галогенная для вождения, черного цвета.Белый свет";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DKRF35X";"PIAA LAMP LED RF3 DRIVING 6000K DKRF35X";"6000K";"17 W";"ДИОДНАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света диодная для вождения, черного цвета 6000К 12V 17W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DKRF68X";"PIAA LAMP LED RF6 FOG 6000K DKRF68X";"6000K";"17 W";"ДИОДНАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света диодная противотуманная, черного цвета 6000К 12V 17W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DKRF105X";"PIAA LAMP LED RF10 DRIVING 6000K DKRF105X";"6000K";"33 W";"ДИОДНАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света диодная для вождения, черного цвета 6000К 12V 33W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DKRF108X";"PIAA LAMP LED RF10 FOG 6000K DKRF108X";"6000K";"33 W";"ДИОДНАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света диодная противотуманная, черного цвета 6000К 12V 33W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DKRF185E";"PIAA LAMP LED RF18 DRIVING 6000K DKRF185E";"6000K";"70 W";"ДИОДНАЯ";;"Лампы дополнительного освещения";"Япония";"Лампа дополнительного света диодная для вождения, черного цвета 6000К 12V 70W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HO-2";"PIAA SPORTS HORN";;;;;;"Япония";"Звуковой сигнал";"Звуковой сигнал PIAA с двойным тоном (Пр-во Япония) Подходит для автомобилей с двух- и одножильными прооводами.";"400Hz/500Hz";"112 dB";;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HO-8E";"PIAA EURO SPORTS HORN";;;;;;"Япония";"Звуковой сигнал";"Звуковой сигнал PIAA с двойным тоном (Пр-во Япония) Подходит для автомобилей с двух- и одножильными проводами.";"500Hz/600Hz";"115 dB";;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HO-9";"PIAA SUPERIOR BASS HORN";;;;;;"Япония";"Звуковой сигнал";"Звуковой сигнал PIAA с двойным басовым тоном с пассивным усилением звука (Пр-во Япония). Подходит для автомобилей с двух- и одножильными проводами.";"330Hz/400Hz";"112 dB";;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HO-12";"PIAA SLENDER HORN";;;;;;"Япония";"Звуковой сигнал";"Звуковой сигнал PIAA с двойным тоном (Пр-во Япония). Самая тонкая (39,8 мм) модель весом 184 г/шт. в линейки гудков PIAA.Подходит для автомобилей с двух- и одножильными проводами.";"400Hz/500Hz";"112 dB";;;;;;;;;;;;;;;;;;;;;;;;;
"KYK";"63-018";"KYK FUEL CLEAN HYBRID";;;;;;"Япония";"Комплексный очиститель топливной системы";"В качестве ПАВ (поверхностно- активного ваещества) выступает полимерамин, который имеет высокую полярность к жирнымкислотам (лаковым отложениям), т.е. приклеиваясь к лаковым отложениям, образует соединения,легко сгорающие вместе с топливом, таким образом очищая топливную систему. <li>изопропанол притягивает молекулы воды, после чего образовавшееся соединение распределяется по всему объему бензобака и равномерно выводится через топливную систему в камеру сгорания,там происходит сгорание данного соединения, а весь процесс мы называем""вымораживанием"". В противном случае, вода скапливается на дне бензобака, т.к. она тяжелее бензина, и удалить ее без применения специального вещества практически невозможно. <li>антикоррозийные добавки обеспечивают дополнительную защиту от коррозии в системе.";;;;"300ml";"3 года";"бензин";"топливная система";"изопропанол, антикоррозийные добавки, очистительная добавка полимерамин";;;;;;;;;;;;;;;;;;;
"KYK";"63-019";"KYK FUEL CLEAN HYBRID PREMIUM";;;;;;"Япония";"Комплексный очиститель топливной системы";"В качестве ПАВ (поверхностно- активного ваещества) выступает полиэтилакрилат РЕА, он является более сильной очистительной присадкой, нежели, чем полимерамин. Он позволяет более глубоко очистить лаковые отложения в топливной системе <li>изопропанол притягивает молекулы воды, после чего образовавшееся соединение распределяется по всему объему бензобака и равномерно выводится через топливную систему в камеру сгорания, там происходит сгорание данного соединения, а весь процесс мы называем""вымораживанием"". В противном случае, вода скапливается на дне бензобака, т.к. она тяжелее бензина, и удалить ее без применения специального вещества практически невозможно. <li>антикоррозийные добавки обеспечивают дополнительную защиту от коррозии в системе";;;;"300ml";"3 года";"бензин";"топливная система";"изопропанол, антикоррозийные добавки, очистительная добавка полиэтилакрилата РЕА";;;;;;;;;;;;;;;;;;;
